player,team,stat_type,line_score
Tyrese Haliburton,IND,Two Pointers Made,3.5
Tyrese Haliburton,IND,REB,5.0
Tyrese Haliburton,IND,Pts+Rebs,23.5
Tyrese Haliburton,IND,Pts+Rebs+Asts,32.5
Shai Gilgeous-Alexander,OKC,FG Made,12.0
Shai Gilgeous-Alexander,OKC,FG Attempted,24.5
Shai Gilgeous-Alexander,OKC,Steals,1.5
Shai Gilgeous-Alexander,OKC,Rebs+Asts,12.5
Shai Gilgeous-Alexander,OKC,REB,5.5
Shai Gilgeous-Alexander,OKC,Two Pointers Attempted,19.5
Shai Gilgeous-Alexander,OKC,PRA In First 5 Minutes,5.0
Shai Gilgeous-Alexander,OKC,Free Throws Attempted,9.5
Shai Gilgeous-Alexander,OKC,Pts+Asts,41.0
Shai Gilgeous-Alexander,OKC,PTS,34.0
Shai Gilgeous-Alexander,OKC,Pts+Rebs,40.0
Shai Gilgeous-Alexander,OKC,Free Throws Made,8.0
Shai Gilgeous-Alexander,OKC,Points In First 5 Minutes,4.0
Shai Gilgeous-Alexander,OKC,AST,6.5
Shai Gilgeous-Alexander,OKC,Pts+Rebs+Asts,47.0
Shai Gilgeous-Alexander,OKC,Personal Fouls,2.5
Myles Turner + Chet Holmgren,IND/OKC,Points (Combo),29.5
Myles Turner + Chet Holmgren,IND/OKC,Rebounds (Combo),14.0
Alex Caruso,OKC,Pts+Rebs,13.0
Alex Caruso,OKC,PTS,9.5
Alex Caruso,OKC,Pts+Asts,12.0
Alex Caruso,OKC,Personal Fouls,3.5
Alex Caruso,OKC,AST,2.5
Alex Caruso,OKC,Steals,1.5
Alex Caruso,OKC,FG Attempted,7.5
Alex Caruso,OKC,REB,3.5
Alex Caruso,OKC,Rebs+Asts,6.5
Alex Caruso,OKC,Pts+Rebs+Asts,16.0
Alex Caruso,OKC,Free Throws Made,1.5
Isaiah Hartenstein,OKC,FG Attempted,4.5
Isaiah Hartenstein,OKC,Free Throws Attempted,0.5
Isaiah Hartenstein,OKC,Rebs+Asts,8.5
Isaiah Hartenstein,OKC,Pts+Rebs+Asts,15.0
Isaiah Hartenstein,OKC,REB,7.0
Isaiah Hartenstein,OKC,Pts+Rebs,13.0
Isaiah Hartenstein,OKC,Pts+Asts,8.0
Isaiah Hartenstein,OKC,Steals,0.5
Isaiah Hartenstein,OKC,FG Made,2.5
Isaiah Hartenstein,OKC,PTS,6.0
Pascal Siakam + Chet Holmgren,IND/OKC,Points (Combo),35.5
Pascal Siakam + Chet Holmgren,IND/OKC,Rebounds (Combo),16.0
Tyrese Haliburton + Chet Holmgren,IND/OKC,Points (Combo),34.0
Pascal Siakam + Jalen Williams,IND/OKC,Points (Combo),41.5
Pascal Siakam + Isaiah Hartenstein,IND/OKC,Rebounds (Combo),14.5
Aaron Nesmith + Chet Holmgren,IND/OKC,Points (Combo),27.0
Tyrese Haliburton + Jalen Williams,IND/OKC,3-PT Made (Combo),4.0
Tyrese Haliburton + Jalen Williams,IND/OKC,Points (Combo),40.0
Andrew Nembhard + Chet Holmgren,IND/OKC,Points (Combo),26.5
Andrew Nembhard + Jalen Williams,IND/OKC,Assists (Combo),9.5
T.J. McConnell + Jalen Williams,IND/OKC,Assists (Combo),9.0
Aaron Nesmith + Luguentz Dort,IND/OKC,3-PT Made (Combo),4.0
Tyrese Haliburton + Luguentz Dort,IND/OKC,3-PT Made (Combo),4.5
Andrew Nembhard + Shai Gilgeous-Alexander,IND/OKC,Assists (Combo),11.5
Myles Turner,IND,3-PT Attempted,4.5
T.J. McConnell,IND,3-PT Attempted,0.5
Chet Holmgren,OKC,3-PT Attempted,3.5
Shai Gilgeous-Alexander,OKC,3-PT Attempted,5.0
