player,team,stat_type,line_score
Tyrese Haliburton,IND,AST,8.0
Tyrese Haliburton,IND,Pts+Rebs,22.0
Tyrese Haliburton,IND,PTS,17.5
Tyrese Haliburton,IND,3-PT Made,2.5
Tyrese Haliburton,IND,REB,5.0
Tyrese Haliburton,IND,Pts+Asts,25.5
Tyrese Haliburton,IND,3-PT Attempted,7.5
Tyrese Haliburton,IND,FG Attempted,13.5
Tyrese Haliburton,IND,PRA In First 5 Minutes,3.5
Shai Gilgeous-Alexander,OKC,PRA In First 5 Minutes,5.0
Shai Gilgeous-Alexander,OKC,Two Pointers Attempted,19.5
Shai Gilgeous-Alexander,OKC,Steals,1.5
Shai Gilgeous-Alexander,OKC,FG Made,12.5
Shai Gilgeous-Alexander,OKC,Rebs+Asts,12.0
Shai Gilgeous-Alexander,OKC,Two Pointers Made,11.0
Shai Gilgeous-Alexander,OKC,3-PT Made,1.5
Shai Gilgeous-Alexander,OKC,Free Throws Made,7.5
Shai Gilgeous-Alexander,OKC,AST,6.5
Shai Gilgeous-Alexander,OKC,Pts+Asts,40.5
Shai Gilgeous-Alexander,OKC,Pts+Rebs,40.0
Shai Gilgeous-Alexander,OKC,Points In First 5 Minutes,4.0
Shai Gilgeous-Alexander,OKC,PTS,34.5
Shai Gilgeous-Alexander,OKC,Pts+Rebs+Asts,46.5
Shai Gilgeous-Alexander,OKC,REB,5.5
Shai Gilgeous-Alexander,OKC,FG Attempted,24.5
Alex Caruso,OKC,Blocked Shots,0.5
Alex Caruso,OKC,Pts+Rebs+Asts,17.5
Alex Caruso,OKC,Pts+Asts,13.5
Alex Caruso,OKC,Rebs+Asts,6.5
Alex Caruso,OKC,AST,2.5
Alex Caruso,OKC,REB,4.0
Alex Caruso,OKC,3-PT Made,1.5
Alex Caruso,OKC,FG Made,3.5
Alex Caruso,OKC,PTS,10.5
Alex Caruso,OKC,Free Throws Made,1.5
Alex Caruso,OKC,Pts+Rebs,14.5
Isaiah Hartenstein,OKC,PTS,6.0
Isaiah Hartenstein,OKC,Pts+Rebs,13.5
Isaiah Hartenstein,OKC,REB,7.0
Isaiah Hartenstein,OKC,Pts+Asts,8.0
Isaiah Hartenstein,OKC,Pts+Rebs+Asts,15.5
Isaiah Hartenstein,OKC,Rebs+Asts,9.0
Isaiah Hartenstein,OKC,Steals,0.5
Chet Holmgren + Aaron Nesmith,OKC/IND,Points (Combo),26.5
Chet Holmgren + Myles Turner,OKC/IND,Points (Combo),29.5
Chet Holmgren + Pascal Siakam,OKC/IND,Points (Combo),35.0
Jalen Williams + Pascal Siakam,OKC/IND,Points (Combo),41.5
Jalen Williams + Tyrese Haliburton,OKC/IND,Points (Combo),39.5
Chet Holmgren + Tyrese Haliburton,OKC/IND,Points (Combo),32.5
Alex Caruso + Tyrese Haliburton,OKC/IND,Points (Combo),27.5
Alex Caruso + Myles Turner,OKC/IND,Points (Combo),24.5
Chet Holmgren + Pascal Siakam,OKC/IND,Rebounds (Combo),16.5
Isaiah Hartenstein + Pascal Siakam,OKC/IND,Rebounds (Combo),14.5
Chet Holmgren + Obi Toppin,OKC/IND,Rebounds (Combo),14.5
Isaiah Hartenstein + Obi Toppin,OKC/IND,Rebounds (Combo),12.5
Shai Gilgeous-Alexander + Tyrese Haliburton,OKC/IND,Assists (Combo),14.5
Jalen Williams + Andrew Nembhard,OKC/IND,Assists (Combo),9.0
Jalen Williams + T.J. McConnell,OKC/IND,Assists (Combo),8.5
Luguentz Dort + Myles Turner,OKC/IND,3-PT Made (Combo),3.5
Luguentz Dort + Tyrese Haliburton,OKC/IND,3-PT Made (Combo),4.5
Shai Gilgeous-Alexander + Tyrese Haliburton,OKC/IND,3-PT Made (Combo),4.0
Shai Gilgeous-Alexander + Andrew Nembhard,OKC/IND,Assists (Combo),10.5
